NX  41  NY  41  NZ  1  D  2
X  Y  Z  VBCTYPE  PBCTYPE  UVAL  VVAL  WVAL  PVAL
0.00000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.02500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.05000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.07500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.10000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.12500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.15000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.17500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.20000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.22500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.25000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.27500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.30000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.32500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.35000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.37500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.40000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.42500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.45000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.47500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.50000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.52500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.55000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.57500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.60000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.62500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.65000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.67500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.70000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.72500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.75000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.77500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.80000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.82500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.85000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.87500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.90000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.92500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.95000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.97500  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
1.00000  0.00000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.00000  0.02500  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.02500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.05000  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.07500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.10000  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.12500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.15000  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.17500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.20000  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.22500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.25000  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.27500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.30000  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.32500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.35000  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.37500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.40000  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.42500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.45000  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.47500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.50000  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.52500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.55000  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.57500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.60000  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.62500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.65000  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.67500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.70000  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.72500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.75000  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.77500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.80000  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.82500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.85000  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.87500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.90000  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.92500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.95000  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
0.97500  0.02500  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
1.00000  0.02500  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.00000  0.05000  0.00000      1      0  0.00000  0.00000  0.00000  0.00000
0.02500  0.05000  0.00000      0      0  0.00000  0.00000  0.00000  0.00000
